PARTITION HOSTNAMES CPUS(A/I/O/T) MEMORY
batch cn612-39-r 0/20/0/20 120832
batch dgpu501-06 0/36/0/36 252715
batch dgpu501-10 0/36/0/36 252715
batch dgpu502-25 0/36/0/36 252715
debug dbn404-01-l 0/0/16/16 55296
debug dbn404-08-r 0/0/16/16 55296
debug cn603-14-l 0/40/0/40 375618
debug dgpu609-14 0/36/0/36 252715
debug gpu510-32 0/40/0/40 376000
group-stsda cn613-11-l 0/0/20/20 120832
group-stsda cn613-12-l 0/0/20/20 120832
group-stsda cn613-12-r 0/0/20/20 120832
group-stsda cn613-13-l 0/0/20/20 120832
group-stsda cn613-14-l 0/0/20/20 120832
group-stsda cn613-15-l 0/0/20/20 120832
group-stsda cn613-16-l 0/0/20/20 120832
group-stsda cn613-18-r 0/0/20/20 120832
group-stsda cn613-19-l 0/0/20/20 120832
group-stsda cn613-19-r 0/0/20/20 120832
group-stsda cn613-20-l 0/0/20/20 120832
group-stsda cn613-20-r 0/0/20/20 120832
group-stsda cn613-26-r 0/0/20/20 120832
group-stsda cn613-27-r 0/0/20/20 120832
group-stsda cn613-10-r 0/20/0/20 120832
group-stsda cn613-18-l 0/20/0/20 120832
group-stsda cn613-24-l 0/20/0/20 120832
group-stsda cn613-24-r 0/20/0/20 120832
group-stsda cn613-25-l 0/20/0/20 120832
group-stsda cn613-25-r 0/20/0/20 120832
group-stsda cn613-26-l 0/20/0/20 251904
group-stsda cn613-27-l 0/20/0/20 120832
group-stsda cn613-28-l 0/20/0/20 120832
group-stsda cn613-28-r 0/20/0/20 120832
group-stsda cn613-29-l 0/20/0/20 120832
group-stsda cn613-29-r 0/20/0/20 120832
group-stsda cn613-30-l 0/20/0/20 120832
group-stsda cn613-30-r 0/20/0/20 120832
group-stsda cn613-31-l 0/20/0/20 120832
group-stsda cn613-31-r 0/20/0/20 120832
group-stsda cn613-32-l 0/20/0/20 120832
group-stsda cn613-32-r 0/20/0/20 120832
group-stsda dbn306-31-r 0/0/20/20 120832
group-stsda cn612-24-r 0/20/0/20 120832
group-csim cn613-36-l 0/20/0/20 120832
group-csim cn613-36-r 0/20/0/20 120832
group-csim cn613-37-l 0/20/0/20 120832
group-csim cn613-37-r 0/20/0/20 120832
group-csim cn613-38-l 0/20/0/20 120832
group-csim cn613-38-r 0/20/0/20 120832
group-csim cn613-39-l 0/20/0/20 120832
group-csim cn613-39-r 0/20/0/20 120832
group-csim cn612-08-l 0/0/20/20 120832
group-csim cn612-28-l 20/0/0/20 120832
group-csim cn612-28-r 20/0/0/20 120832
group-csim cn612-02-l 0/20/0/20 120832
group-csim cn612-02-r 0/20/0/20 120832
group-csim cn612-03-l 0/20/0/20 120832
group-csim cn612-03-r 0/20/0/20 120832
group-csim cn612-04-l 0/20/0/20 120832
group-csim cn612-04-r 0/20/0/20 120832
group-csim cn612-05-l 0/20/0/20 120832
group-csim cn612-05-r 0/20/0/20 120832
group-csim cn612-06-l 0/20/0/20 120832
group-csim cn612-06-r 0/20/0/20 120832
group-csim cn612-07-l 0/20/0/20 120832
group-csim cn612-07-r 0/20/0/20 120832
group-csim cn612-08-r 0/20/0/20 120832
group-csim cn612-29-l 0/20/0/20 120832
group-csim cn612-29-r 0/20/0/20 120832
group-csim cn612-30-l 0/20/0/20 120832
group-csim cn612-30-r 0/20/0/20 120832
group-csim cn612-31-l 0/20/0/20 120832
group-csim cn612-31-r 0/20/0/20 120832
group-redd cn613-09-l 0/0/20/20 120832
group-redd cn613-10-l 0/0/20/20 120832
group-redd cn613-14-r 0/0/20/20 120832
group-redd cn613-17-r 0/0/20/20 120832
group-redd cn613-06-l 0/20/0/20 120832
group-redd cn613-09-r 0/20/0/20 120832
group-redd cn613-17-l 0/20/0/20 120832
group-redd dbn302-13-l 0/0/20/20 120832
group-redd dbn302-14-l 0/0/20/20 120832
group-redd dbn303-39-l 0/0/20/20 120832
smc_64_128 cn613-09-l 0/0/20/20 120832
smc_64_128 cn613-10-l 0/0/20/20 120832
smc_64_128 cn613-11-l 0/0/20/20 120832
smc_64_128 cn613-12-l 0/0/20/20 120832
smc_64_128 cn613-12-r 0/0/20/20 120832
